target_phrase	result_1	result_2	result_3	result_4	result_5	final_result
pins and needles	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
bun in the oven	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
loan shark	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
open book	literal	literal	literal	literal	literal	literal
baby blues	literal	literal	literal	literal	literal	literal
silver bullet	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
brain surgery	literal	literal	literal	literal	literal	literal
red flag	literal	literal	literal	literal	literal	literal
white elephant	idiomatic	literal	literal	literal	literal	literal
two-way street	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
rat run	literal	literal	literal	literal	literal	literal
graveyard shift	both	literal	both	idiomatic	idiomatic	idiomatic
dirty money	literal	literal	literal	literal	literal	literal
high life	literal	literal	literal	literal	literal	literal
pain in the neck	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
guinea pig	literal	literal	literal	literal	literal	literal
cat's eyes	literal	literal	literal	literal	literal	literal
cold turkey	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
low-hanging fruit	literal	literal	literal	literal	literal	literal
busy bee	literal	literal	literal	literal	literal	literal
wet blanket	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
chicken feed	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
monkey business	literal	literal	literal	literal	literal	literal
grass roots	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
marching orders	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
panda car	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
bread and butter	literal	literal	literal	literal	literal	literal
chocolate teapot	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
pig's ear	literal	literal	literal	literal	literal	literal
best man	literal	literal	literal	literal	literal	literal
big cheese	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
eager beaver	literal	literal	literal	literal	literal	literal
hair of the dog	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
thin ice	literal	literal	literal	literal	literal	literal
snake in the grass	literal	literal	literal	literal	literal	literal
flea market	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
big fish	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
fancy dress	literal	literal	literal	literal	literal	literal
snail mail	literal	literal	literal	literal	literal	literal
heart of stone	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
party animal	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
cold feet	literal	literal	literal	literal	literal	literal
couch potato	literal	literal	literal	literal	literal	literal
peas in a pod	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
sour grapes	literal	literal	literal	literal	literal	literal
hot air	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
green light	literal	literal	literal	literal	literal	literal
watering hole	literal	literal	literal	literal	literal	literal
flying saucer	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
act of god	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
field work	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic	idiomatic
big wig	literal	literal	literal	literal	literal	literal
